title,type,genres,releaseyear,averagerating,votes
The Fifth Element,movie,"{Action, Adventure, Sci-Fi}",1997,7.6,517328
Unforgiven,movie,"{Drama, Western}",1992,8.2,443986
Eternal Sunshine of the Spotless Mind,movie,"{Drama, Romance, Sci-Fi}",2004,8.3,1104543
A History of Violence,movie,"{Action, Crime, Drama}",2005,7.4,259136
2001: A Space Odyssey,movie,"{Adventure, Sci-Fi}",1968,8.3,735455
Absolute Power,movie,"{Action, Crime, Drama}",1997,6.7,61312
Million Dollar Baby,movie,"{Drama, Sport}",2004,8.1,732982
Billy Elliot,movie,"{Drama, Music}",2000,7.7,145940
American History X,movie,"{Crime, Drama}",1998,8.5,1208092
Mars Attacks!,movie,"{Comedy, Sci-Fi}",1996,6.4,248632
Before Sunrise,movie,"{Drama, Romance}",1995,8.1,348888
Blade Runner,movie,"{Action, Drama, Sci-Fi}",1982,8.1,838268
Before Sunset,movie,"{Drama, Romance}",2004,8.1,294850
Miami Vice,movie,"{Action, Crime, Drama}",2006,6.1,125886
Gladiator,movie,"{Action, Adventure, Drama}",2000,8.5,1672984
Taxi Driver,movie,"{Crime, Drama}",1976,8.2,949505
Snatch,movie,"{Comedy, Crime}",2000,8.2,927549
Three Colors: Blue,movie,"{Drama, Music, Mystery}",1993,7.8,112790
Three Colors: White,movie,"{Comedy, Drama, Romance}",1994,7.6,81294
Three Colors: Red,movie,"{Drama, Mystery, Romance}",1994,8.1,111945
Pretty Woman,movie,"{Comedy, Romance}",1990,7.1,374760
Charlie and the Chocolate Factory,movie,"{Adventure, Comedy, Family}",2005,6.7,540667
The Lord of the Rings: The Fellowship of the Ring,movie,"{Action, Adventure, Drama}",2001,8.9,2057193
The Lord of the Rings: The Two Towers,movie,"{Action, Adventure, Drama}",2002,8.8,1827754
The Lord of the Rings: The Return of the King,movie,"{Action, Adventure, Drama}",2003,9,2027365
Brokeback Mountain,movie,"{Drama, Romance}",2005,7.7,393254
"Crouching Tiger, Hidden Dragon",movie,"{Action, Adventure, Drama}",2000,7.9,284814
The 400 Blows,movie,"{Crime, Drama}",1959,8,129839
The Dark Knight,movie,"{Action, Crime, Drama}",2008,9,2943222
Oceans Eleven,movie,"{Crime, Thriller}",2001,7.7,632690
Oceans Twelve,movie,"{Crime, Thriller}",2004,6.5,420622
The Interpreter,movie,"{Crime, Mystery, Thriller}",2005,6.4,111851
The Good German,movie,"{Drama, Mystery, Romance}",2006,6,26284
A Clockwork Orange,movie,"{Crime, Sci-Fi}",1971,8.2,896098
Braveheart,movie,"{Biography, Drama, War}",1995,8.3,1109375
Mean Streets,movie,"{Crime, Drama, Thriller}",1973,7.2,121951
North by Northwest,movie,"{Action, Adventure, Mystery}",1959,8.3,352443
East of Eden,movie,{Drama},1955,7.8,49564
Rebel Without a Cause,movie,{Drama},1955,7.6,99396
Bride of Frankenstein,movie,"{Drama, Horror, Sci-Fi}",1935,7.8,54832
Syriana,movie,"{Drama, Thriller}",2005,6.9,135456
The Godfather,movie,"{Crime, Drama}",1972,9.2,2065001
The Godfather Part II,movie,"{Crime, Drama}",1974,9,1394549
The Godfather Part III,movie,"{Crime, Drama}",1990,7.6,431739
Willy Wonka & the Chocolate Factory,movie,"{Adventure, Comedy, Family}",1971,7.8,232480
Batman,movie,"{Action, Adventure}",1989,7.5,413124
Batman Begins,movie,"{Action, Crime, Drama}",2005,8.2,1612259
Fargo,movie,"{Crime, Thriller}",1996,8.1,739522
Underworld,movie,"{Action, Fantasy, Thriller}",2003,7,289894
The Shawshank Redemption,movie,{Drama},1994,9.3,2961822
Casablanca,movie,"{Drama, Romance, War}",1942,8.5,617274
Meet Joe Black,movie,"{Drama, Fantasy, Romance}",1998,7.2,272456
Oceans Thirteen,movie,"{Crime, Thriller}",2007,6.9,372785
Rio Bravo,movie,{Western},1959,8,69564
Bruce Almighty,movie,"{Comedy, Fantasy}",2003,6.8,442966
Catwoman,movie,"{Action, Crime, Fantasy}",2004,3.4,127624
Mystic River,movie,"{Crime, Drama, Mystery}",2003,7.9,494849
Snakes on a Plane,movie,"{Action, Adventure, Crime}",2006,5.5,146090
Jurassic Park,movie,"{Action, Adventure, Sci-Fi}",1993,8.2,1092355
The Lost World: Jurassic Park,movie,"{Action, Adventure, Sci-Fi}",1997,6.6,451526
Jurassic Park III,movie,"{Action, Adventure, Sci-Fi}",2001,5.9,346565
Magnolia,movie,{Drama},1999,8,333395
Good Bye Lenin!,movie,"{Comedy, Drama, Romance}",2003,7.7,154490
Eyes Wide Shut,movie,"{Drama, Mystery, Thriller}",1999,7.5,386132
The Devil Wears Prada,movie,"{Comedy, Drama}",2006,6.9,485103
Batman Returns,movie,"{Action, Crime, Fantasy}",1992,7.1,334430
A Nightmare on Elm Street,movie,{Horror},1984,7.4,272279
Rain Man,movie,{Drama},1988,8,555453
Inside Man,movie,"{Crime, Drama, Mystery}",2006,7.6,404877
Whos Afraid of Virginia Woolf?,movie,{Drama},1966,8,81322
French Kiss,movie,"{Comedy, Drama, Romance}",1995,6.6,54050
Driving Miss Daisy,movie,"{Comedy, Drama}",1989,7.3,119251
Batman Forever,movie,"{Action, Adventure}",1995,5.4,270694
Batman & Robin,movie,"{Action, Sci-Fi}",1997,3.8,272217
8½,movie,{Drama},1963,8,127191
Vertigo,movie,"{Mystery, Romance, Thriller}",1958,8.3,436275
Maria Full of Grace,movie,"{Crime, Drama}",2004,7.4,36510
Caché,movie,"{Drama, Mystery, Thriller}",2005,7.3,86687
Erin Brockovich,movie,"{Biography, Drama}",2000,7.4,227238
Bonnie and Clyde,movie,"{Action, Biography, Crime}",1967,7.7,122625
Good Will Hunting,movie,"{Drama, Romance}",1997,8.3,1101579
The Green Mile,movie,"{Crime, Drama, Fantasy}",1999,8.6,1444285
Poseidon,movie,"{Action, Adventure, Thriller}",2006,5.7,111802
Marnie,movie,"{Crime, Drama, Mystery}",1964,7.1,55053
Notting Hill,movie,"{Comedy, Drama, Romance}",1999,7.2,352863
One Flew Over the Cuckoos Nest,movie,{Drama},1975,8.7,1092651
Wallace & Gromit: The Curse of the Were-Rabbit,movie,"{Adventure, Animation, Comedy}",2005,7.5,148769
Terminator Salvation,movie,"{Action, Adventure, Sci-Fi}",2009,6.5,382023
Psycho,movie,"{Horror, Mystery, Thriller}",1960,8.5,735354
The Crime of Padre Amaro,movie,"{Drama, Romance}",2002,6.7,14567
Spider-Man,movie,"{Action, Adventure, Sci-Fi}",2002,7.4,901564
Spider-Man 2,movie,"{Action, Adventure, Sci-Fi}",2004,7.5,727947
